# Created from biom table																																								
#OTU ID	ECOLI	EXTBLK1	EXTBLK2	EXTBLK	FB200	FB20	FB5	FB60	FBF	NO15200	NO1520	NO155	NO1560	NO15F	NO7200	NO720	NO75	NO760	NO7F	PCRBLK	SM01200	SM0120	SM015	SM0160	SM01F	SM02200	SM0220	SM025	SM0260	SM02F	SM29200	SM2920	SM295	SM2960	SM29F	SM31200	SM3120	SM315	SM3160	SM31F
Otu1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Otu3	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2500	3388	2770	4124	1165	0	40	10	9	28	47	168	39	39	98	292	1397	1836	2447	1581	1687	1794	878	2451	1296	3980
Otu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	4	9	11	24	0	0	0	0	0	0	0	0	0	0	686	566	604	640	543
Otu5	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
Otu7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	10	3	3	0	5	6	2	1	0	2	0	1	0	0	0	2	0
Otu8	0	0	0	0	25	0	0	0	331	46	58	42	79	21	36	60	30	35	32	0	104	75	45	120	136	34	24	7	47	12	19	24	43	30	31	7	11	6	12	5
Otu9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2
Otu10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Otu11	1	96	0	48	0	0	70	0	110	1329	2296	1947	1338	376	2068	2240	2053	2092	1005	0	3	5	0	5	0	6	3	2	15	1	6	8	9	4	4	1	1	0	1	2
Otu12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu14	0	192	140	0	0	0	70	0	220	0	0	0	0	0	3	4	1	2	0	99	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
Otu15	0	0	0	0	0	0	0	72	0	2	2	2	3	1	1	2	1	1	1	33	1	1	1	1	0	3	5	1	4	0	1	3	1	0	7	2	1	1	1	1
Otu16	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Otu18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu22	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu23	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	960	0	0	0	0	0	3	0	0	0	0	3	2	1	4	0	0	0	0	2	0
Otu24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Otu25	0	0	0	0	12	0	0	0	110	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Otu26	0	0	0	0	0	0	0	217	0	4	8	6	12	0	3	3	3	4	3	0	0	0	0	4	0	1	0	0	0	0	24	50	77	39	20	2	2	1	2	1
Otu27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Otu28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0
Otu29	0	385	1261	819	136	503	279	72	771	0	1	0	2	0	0	0	0	1	2	232	2	2	1	0	1	2	0	1	4	1	0	5	0	1	2	0	0	0	2	1
Otu30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	4	3	1	7	0	366	149	68	309	211	734	726	465	896	183	354	345	330	329	112	338	359	187	284	55
Otu31	0	0	0	0	0	0	0	0	0	79	37	53	42	89	35	45	48	32	281	0	2	0	1	2	2	5	3	3	6	8	11	11	14	21	4	1	3	1	4	2
Otu32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	129	87	30	155	132	5	0	3	0	0	8	5	9	13	0	88	72	45	73	6
Otu33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	5	6	19	13	8	18	4	0	0	0	0	0	89	104	47	114	17
Otu34	0	0	0	0	0	0	0	0	0	36	22	43	33	37	36	33	56	32	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	3	1	0	2	0	1	3	6	1	1	4	9	4	2	1	1	0	1	1	1
Otu36	1	0	0	96	0	0	0	0	0	662	506	688	691	442	881	712	980	635	1115	33	429	224	132	440	122	2125	1939	996	1516	497	1671	1469	2009	1527	874	1682	1740	812	1445	268
Otu37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	69	34	69	10
Otu38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	39	74	25	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu40	0	0	0	0	0	0	0	0	0	3	5	3	4	1	0	0	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	18	52	25	272	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
