SampleID	Genus	Species	Diet	Country	Habitat2
JB29	Theropithecus	gelada	Folivore	Ethiopia	Savannah
JB27	Theropithecus	gelada	Folivore	Ethiopia	Savannah
ERUB104M	Eulemur	rubriventer	Not	Madagascar	Rainforest
Ptr10	Pan	troglodytes	Not	Uganda	Rainforest
PVQui	Propithecus	verreauxi	Folivore	Madagascar	Rainforest
RT2013	Cercopithecus	ascanius	Not	Uganda	Rainforest
APF38	Alouatta	pigra	Folivore	Mexico	Rainforest
AsenLink3	Alouatta	seniculus	Folivore	Ecuador	Rainforest
AsenLink1	Alouatta	seniculus	Folivore	Ecuador	Rainforest
AtbelzLink1	Ateles	belzebuth	Not	Ecuador	Rainforest
AtbelzLink2	Ateles	belzebuth	Not	Ecuador	Rainforest
AtbelzLink5	Ateles	belzebuth	Not	Ecuador	Rainforest
ERUB06M	Eulemur	rubriventer	Not	Madagascar	Rainforest
ERUB105M	Eulemur	rubriventer	Not	Madagascar	Rainforest
ERUB101M	Eulemur	rubriventer	Not	Madagascar	Rainforest
ERUB102M	Eulemur	rubriventer	Not	Madagascar	Rainforest
Gor12	Gorilla	gorilla	Folivore	CAR	Rainforest
LagAb2	Lagothrix	lagotricha	Not	Ecuador	Rainforest
LagEllis4	Lagothrix	lagotricha	Not	Ecuador	Rainforest
LagEllis5	Lagothrix	lagotricha	Not	Ecuador	Rainforest
Lc310	Lemur	catta	Not	Madagascar	Dry_Forest
Ptr13	Pan	troglodytes	Not	Uganda	Rainforest
PVAbb	Propithecus	verreauxi	Folivore	Madagascar	Rainforest
RC2096	Procolobus	badius	Folivore	Uganda	Rainforest
Ahyb1000	Ateles	hybridus	Not	Colombia	Rainforest
Ahyb135	Ateles	hybridus	Not	Colombia	Rainforest
AsenLink2	Alouatta	seniculus	Folivore	Ecuador	Rainforest
AtbelzLink4	Ateles	belzebuth	Not	Ecuador	Rainforest
BWC2115	Colobus	guereza	Folivore	Uganda	Rainforest
Ptr11	Pan	troglodytes	Not	Uganda	Rainforest
PVLou	Propithecus	verreauxi	Folivore	Madagascar	Rainforest
PVPam	Propithecus	verreauxi	Folivore	Madagascar	Rainforest
RC2071	Procolobus	badius	Folivore	Uganda	Rainforest
RC2098	Procolobus	badius	Folivore	Uganda	Rainforest
RT2017	Cercopithecus	ascanius	Not	Uganda	Rainforest
Gor11	Gorilla	gorilla	Folivore	CAR	Rainforest
LabEllis3	Lagothrix	lagotricha	Not	Ecuador	Rainforest
LagEllis1	Lagothrix	lagotricha	Not	Ecuador	Rainforest
PVPet	Propithecus	verreauxi	Folivore	Madagascar	Rainforest
RT2019	Cercopithecus	ascanius	Not	Uganda	Rainforest
BWC2063	Colobus	guereza	Folivore	Uganda	Rainforest
RC2036	Procolobus	badius	Folivore	Uganda	Rainforest
RC2068	Procolobus	badius	Folivore	Uganda	Rainforest
JB1	Papio	hamadryas	Not	Ethiopia	Savannah
JB13	Papio	hamadryas	Not	Ethiopia	Savannah
JB12	Papio	anubis	Not	Ethiopia	Savannah
JB25	Papio	anubis	Not	Ethiopia	Savannah
JB24	Papio	anubis	Not	Ethiopia	Savannah
JB28	Papio	anubis	Not	Ethiopia	Savannah
JB15	Papio	hamadryas	Not	Ethiopia	Savannah
JB32	Theropithecus	gelada	Folivore	Ethiopia	Savannah
JB10	Papio	anubis	Not	Ethiopia	Savannah
JB18	Papio	hamadryas	Not	Ethiopia	Savannah
JB3	Theropithecus	gelada	Folivore	Ethiopia	Savannah
JB17	Papio	hamadryas	Not	Ethiopia	Savannah
RT2048	Cercopithecus	ascanius	Not	Uganda	Rainforest
JB34	Theropithecus	gelada	Folivore	Ethiopia	Savannah
RT2021	Cercopithecus	ascanius	Not	Uganda	Rainforest
APF37	Alouatta	pigra	Folivore	Mexico	Rainforest
PTr14	Pan	troglodytes	Not	Uganda	Rainforest
Ptr1	Pan	troglodytes	Not	Uganda	Rainforest
APF39	Alouatta	pigra	Folivore	Mexico	Rainforest
